Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Tags,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
600000010081905400,600000010081905403,600000010081897525,Dough Zone Menu (Cupertino),VEGETABLES,,Sweet & Sour Cucumber Ⓥ 🌶️ 甜辣小黄瓜,,7.401315789473684,76.0,0.6846846846846847,562.50,0.6848898088396445,76.0,562.50,0.0,0.00,17.76,544.74,66,0.7252747252747253,0.6846846846846847,0.056843679880329095,0.056843679880329095,0.6779251810737487,0.05243506259114339,0.05243506259114339
600000010081899531,600000010081899532,600000010081897525,Dough Zone Menu (Cupertino),VEGETABLES,,Kale Salad with Sesame Dressing Ⓥ 麻酱羽衣甘蓝沙拉,,7.4833333333333325,18.0,0.16216216216216217,134.70,0.1640082795568002,18.0,134.70,0.0,0.00,0.00,134.70,17,0.18681318681318682,0.16216216216216217,0.013462976813762155,0.013462976813762155,0.16763322298827688,0.012965823936239332,0.012965823936239332
600000010081902104,600000010081902105,600000010081897525,Dough Zone Menu (Cupertino),VEGETABLES,,Kale Salad with Sweet & Spicy Garlic Dressing Ⓥ 🌶️ 甜辣羽衣甘蓝沙拉,,7.3,3.0,0.02702702702702703,21.90,0.026665043224156824,3.0,21.90,0.0,0.00,0.00,21.90,3,0.03296703296703297,0.02702702702702703,0.002243829468960359,0.002243829468960359,0.027254399283171964,0.0021080292813930317,0.0021080292813930317
600000010081897527,600000010081897528,600000010081897525,Dough Zone Menu (Cupertino),VEGETABLES,,Broccoli with Seafood Sauce 蚝油西兰花,,7.300000000000001,9.0,0.08108108108108109,65.70,0.07999512967247048,9.0,65.70,0.0,0.00,0.00,65.70,9,0.0989010989010989,0.08108108108108109,0.006731488406881077,0.006731488406881077,0.0817631978495159,0.0063240878441790955,0.0063240878441790955
600000010081902975,600000010081902976,600000010081897525,Dough Zone Menu (Cupertino),VEGETABLES,,Romaine Lettuce Salad with Sesame Dressing Ⓥ 麻酱生菜沙拉,,7.3,5.0,0.04504504504504504,36.50,0.044441738706928045,5.0,36.50,0.0,0.00,0.00,36.50,5,0.054945054945054944,0.04504504504504504,0.0037397157816005983,0.0037397157816005983,0.04542399880528661,0.003513382135655053,0.003513382135655053
600000012356770062,600000012356770061,600000010081897525,Dough Zone Menu (Cupertino),VEGETABLES,,Romaine Lettuce Salad with Sweet & Spicy Garlic Dressing Ⓥ 🌶️ 甜辣生菜沙拉,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
600000010081875660,600000010081875661,,Dough Zone Menu (Cupertino),NOODLES,,,,8.18,298.0,0.22288706058339566,2436.90,0.2308829241949084,298.0,2436.90,0.0,0.00,12.91,2423.99,161,0.755868544600939,0,0.22288706058339566,0.22288706058339566,0,0.23332611405497236,0.23332611405497236
600000010081875663,600000010081875664,600000010081875660,Dough Zone Menu (Cupertino),NOODLES,,Hot & Sour Glass Noodles 🌶️🌶️ 酸辣粉,,7.8999999999999995,12.0,0.040268456375838924,94.80,0.03890188354056383,12.0,94.80,0.0,0.00,0.00,94.80,11,0.06832298136645963,0.040268456375838924,0.008975317875841436,0.008975317875841436,0.03910907223214617,0.00912516784822189,0.00912516784822189
600000010081878673,600000010081878674,600000010081875660,Dough Zone Menu (Cupertino),NOODLES,,Vegetarian Hot & Sour Glass Noodles Ⓥ 🌶️🌶️ 素酸辣粉,,7.9,4.0,0.013422818791946308,31.60,0.012967294513521277,4.0,31.60,0.0,0.00,0.00,31.60,4,0.024844720496894408,0.013422818791946308,0.0029917726252804786,0.0029917726252804786,0.013036357410715392,0.003041722616073964,0.003041722616073964
600000010081880027,600000010081880028,600000010081875660,Dough Zone Menu (Cupertino),NOODLES,,Dan Dan Noodles Ⓥ🌶️🌶️ 担担面,,7.9711864406779664,118.0,0.3959731543624161,940.60,0.385982190487915,118.0,940.60,0.0,0.00,1.40,939.20,88,0.546583850931677,0.3959731543624161,0.08825729244577413,0.08825729244577413,0.38746034430835113,0.09040461648786921,0.09040461648786921
600000010081883485,600000010081883486,600000010081875660,Dough Zone Menu (Cupertino),NOODLES,,Green Onion Soy Sauce Noodles Ⓥ 葱油拌面,,8.08,40.0,0.1342281879194631,323.20,0.1326275185686733,40.0,323.20,0.0,0.00,0.00,323.20,36,0.2236024844720497,0.1342281879194631,0.029917726252804786,0.029917726252804786,0.13333388339060806,0.031110276883389403,0.031110276883389403
600000028210151890,600000028210151889,600000010081875660,Dough Zone Menu (Cupertino),NOODLES,,Cold Noodles with Sesame Dressing Ⓥ 麻酱凉面,,8.379999999999999,5.0,0.016778523489932886,41.90,0.01719397595305511,5.0,41.90,0.0,0.00,0.00,41.90,4,0.024844720496894408,0.016778523489932886,0.0037397157816005983,0.0037397157816005983,0.017285549857878953,0.004033170177642376,0.004033170177642376
600000010081886452,600000010081886453,600000010081875660,Dough Zone Menu (Cupertino),NOODLES,,Yibin Noodles Ⓥ 🌶️ 宜宾燃面,,7.970588235294118,17.0,0.05704697986577181,135.50,0.05560343058804218,17.0,135.50,0.0,0.00,7.27,128.23,14,0.08695652173913043,0.05704697986577181,0.012715033657442034,0.012715033657442034,0.05290038325240616,0.012343040856302669,0.012343040856302669
600000010081888851,600000010081888852,600000010081875660,Dough Zone Menu (Cupertino),NOODLES,,Spicy (Ma La) Noodles 🌶️🌶️ 麻辣小面,,8.056521739130435,23.0,0.07718120805369127,185.30,0.07603923016947761,23.0,185.30,0.0,0.00,0.00,185.30,19,0.11801242236024845,0.07718120805369127,0.01720269259536275,0.01720269259536275,0.07644420975334058,0.017836430403750176,0.017836430403750176
600000010081888886,600000010081888887,600000010081875660,Dough Zone Menu (Cupertino),NOODLES,,Vegetarian Spicy (Ma La) Noodles Ⓥ 🌶️🌶️ 素麻辣小面,,7.9,4.0,0.013422818791946308,31.60,0.012967294513521277,4.0,31.60,0.0,0.00,0.00,31.60,4,0.024844720496894408,0.013422818791946308,0.0029917726252804786,0.0029917726252804786,0.013036357410715392,0.003041722616073964,0.003041722616073964
600000010081890981,600000010081890982,600000010081875660,Dough Zone Menu (Cupertino),NOODLES,,Minced Chicken Noodles 🌶️ 鸡肉肉燥小面,,8.1,6.0,0.020134228187919462,48.60,0.019943370675858673,6.0,48.60,0.0,0.00,0.00,48.60,6,0.037267080745341616,0.020134228187919462,0.004487658937920718,0.004487658937920718,0.020049587663315445,0.004678092377885907,0.004678092377885907
600000010081892479,600000010081892480,600000010081875660,Dough Zone Menu (Cupertino),NOODLES,,Beef-Stew Noodles 🌶️ 秘制牛肉小面,,7.985714285714286,28.0,0.09395973154362416,223.60,0.09175591940580245,28.0,223.60,0.0,0.00,0.00,223.60,25,0.15527950310559005,0.09395973154362416,0.020942408376963352,0.020942408376963352,0.09224460496949245,0.021523075220067668,0.021523075220067668
600000010081895355,600000010081895356,600000010081875660,Dough Zone Menu (Cupertino),NOODLES,,Beef-Stew Noodle Soup 🌶️ 秘制牛肉汤面,,10.065384615384614,26.0,0.087248322147651,261.70,0.1073905371578645,26.0,261.70,0.0,0.00,3.38,258.32,24,0.14906832298136646,0.087248322147651,0.01944652206432311,0.01944652206432311,0.10656809640303798,0.02486511981595653,0.02486511981595653
